date,mkt_index,rf_index
19451204,3.563461949,1.214180762
19451205,3.567417391,1.214192904
19451206,3.593138471,1.214205046
19451207,3.604313131,1.214217188
19451208,3.620568584,1.21422933
19451210,3.630742381,1.214241473
19451211,3.623880278,1.214253615
19451212,3.571007865,1.214265758
19451213,3.557116644,1.2142779
19451214,3.564977872,1.214290043
19451215,3.577490945,1.214302186
19451217,3.485942951,1.214314329
19451218,3.5110766,1.214326472
19451219,3.516378326,1.214338615
19451220,3.496370133,1.214350759
19451221,3.493258364,1.214362902
19451222,3.529623183,1.214375046
19451226,3.572013958,1.21438719
19451227,3.549188788,1.214399333
19451228,3.551708712,1.214411477
19451229,3.561333843,1.214423622
19451231,3.560301056,1.214435766
19460102,3.542179124,1.21444791
19460103,3.532650662,1.214460055
19460104,3.526680482,1.214472199
19460105,3.539059131,1.214484344
19460107,3.543695298,1.214496489
19460108,3.618148337,1.214508634
19460109,3.671009484,1.214520779
19460110,3.693806453,1.214532924
19460111,3.705294191,1.214545069
19460112,3.686804773,1.214557215
19460114,3.74030031,1.21456936
19460115,3.748566374,1.214581506
19460116,3.754226709,1.214593652
19460117,3.744503262,1.214605798
19460118,3.737800601,1.214617944
19460119,3.706814234,1.21463009
19460121,3.641611371,1.214642236
19460122,3.664225778,1.214654383
19460123,3.705301749,1.214666529
19460124,3.720530539,1.214678676
19460125,3.715359002,1.214690823
19460126,3.71948305,1.21470297
19460128,3.804696407,1.214715117
19460129,3.813485256,1.214727264
19460130,3.795218661,1.214739411
19460131,3.785768567,1.214751559
19460201,3.807385305,1.214763706
19460202,3.82798326,1.214775854
19460204,3.80735043,1.214788002
19460205,3.821094965,1.214800149
19460206,3.797060278,1.214812297
19460207,3.795199718,1.214824446
19460208,3.783472551,1.214836594
19460209,3.752107564,1.214848742
19460211,3.73000765,1.214860891
19460213,3.686776861,1.214873039
19460214,3.714833233,1.214885188
19460215,3.784337763,1.214897337
19460216,3.82184055,1.214909486
19460218,3.766462081,1.214921635
19460219,3.642206497,1.214933784
19460220,3.58105385,1.214945933
19460221,3.653785053,1.214958083
19460225,3.490497399,1.214970232
19460226,3.473777917,1.214982382
19460227,3.54537248,1.214994532
19460228,3.564907482,1.215006682
19460301,3.557813316,1.215018832
19460302,3.536502014,1.215030982
19460304,3.533000877,1.215043133
19460305,3.575785518,1.215055283
19460306,3.564021184,1.215067433
19460307,3.591499787,1.215079584
19460308,3.61919025,1.215091735
19460309,3.628998256,1.215103886
19460311,3.596736461,1.215116037
19460312,3.608281985,1.215128188
19460313,3.549142244,1.215140339
19460314,3.54704825,1.215152491
19460315,3.585037137,1.215164642
19460316,3.623791388,1.215176794
19460318,3.650281303,1.215188946
19460319,3.636081709,1.215201098
19460320,3.664843115,1.21521325
19460321,3.686502338,1.215225402
19460322,3.696124109,1.215237554
19460323,3.710206342,1.215249706
19460325,3.765896539,1.215261859
19460326,3.766310788,1.215274011
19460327,3.742244062,1.215286164
19460328,3.737790791,1.215298317
19460329,3.7658616,1.21531047
19460330,3.776443671,1.215322623
19460401,3.772327348,1.215334776
19460402,3.776514631,1.21534693
19460403,3.83168951,1.215359083
19460404,3.872726904,1.215371237
19460405,3.870441996,1.215383391
19460406,3.878995672,1.215395544
19460408,3.88097396,1.215407698
19460409,3.923315386,1.215419852
19460410,3.91590032,1.215432007
19460411,3.905758138,1.215444161
19460412,3.904625468,1.215456315
19460413,3.88553185,1.21546847
19460415,3.885570705,1.215480625
19460416,3.93340208,1.215492779
19460417,3.935014775,1.215504934
19460418,3.950007182,1.215517089
19460420,3.952416686,1.215529245
19460422,3.949294277,1.2155414
19460423,3.939460534,1.215553555
19460424,3.909953975,1.215565711
19460425,3.888488327,1.215577866
19460426,3.897470735,1.215590022
19460427,3.92284327,1.215602178
19460429,3.926805342,1.215614334
19460430,3.937839665,1.21562649
19460501,3.928822012,1.215638647
19460502,3.913931776,1.215650803
19460503,3.883442248,1.215662959
19460504,3.868335657,1.215675116
19460506,3.841682825,1.215687273
19460507,3.899346484,1.21569943
19460508,3.904064693,1.215711587
19460509,3.909179018,1.215723744
19460510,3.968637631,1.215735901
19460511,3.988520505,1.215748058
19460513,3.983774166,1.215760216
19460514,3.974252946,1.215772373
19460515,3.950049745,1.215784531
19460516,3.971419514,1.215796689
19460517,3.969076377,1.215808847
19460518,3.952049039,1.215821005
19460520,3.980148108,1.215833163
19460521,3.991730339,1.215845322
19460522,4.010930562,1.21585748
19460523,4.00816302,1.215869639
19460524,4.007401469,1.215881797
19460527,4.042706676,1.215893956
19460528,4.088833959,1.215906115
19460529,4.096234748,1.215918274
19460531,4.09381797,1.215930433
19460603,4.070524146,1.215942593
19460604,4.047362863,1.215954752
19460605,4.022714423,1.215966912
19460606,4.021950108,1.215979071
19460607,4.027218862,1.215991231
19460610,4.034508128,1.216003391
19460611,3.997834449,1.216015551
19460612,4.001072695,1.216027711
19460613,4.02391882,1.216039872
19460614,4.018325573,1.216052032
19460617,4.021580417,1.216064192
19460618,3.95848182,1.216076353
19460619,3.933978818,1.216088514
19460620,3.852978194,1.216100675
19460621,3.883455251,1.216112836
19460624,3.896697834,1.216124997
19460625,3.871797935,1.216137158
19460626,3.85789818,1.216149319
19460627,3.926221557,1.216161481
19460628,3.935683751,1.216173643
19460701,3.962485757,1.216185804
19460702,3.953411665,1.216197966
19460703,3.949102446,1.216210128
19460705,3.942428463,1.21622229
19460708,3.932611816,1.216234452
19460709,3.947201806,1.216246615
19460710,3.957898723,1.216258777
19460711,3.938940388,1.21627094
19460712,3.905498784,1.216283103
19460715,3.83719161,1.216295265
19460716,3.829555599,1.216307428
19460717,3.848741673,1.216319591
19460718,3.846855789,1.216331755
19460719,3.831506835,1.216343918
19460722,3.816602273,1.216356081
19460723,3.702524031,1.216368245
19460724,3.703301561,1.216380409
19460725,3.729632035,1.216392572
19460726,3.75167416,1.216404736
19460729,3.766718374,1.2164169
19460730,3.789356351,1.216429065
19460731,3.830698229,1.216441229
19460801,3.849890027,1.216453393
19460802,3.853393427,1.216465558
19460805,3.834164994,1.216477722
19460806,3.820783758,1.216489887
19460807,3.852916549,1.216502052
19460808,3.872219661,1.216514217
19460809,3.862577834,1.216526382
19460812,3.867637811,1.216538548
19460813,3.891655842,1.216550713
19460814,3.889748931,1.216562878
19460815,3.852446239,1.216575044
19460816,3.821279949,1.21658721
19460819,3.811000705,1.216599376
19460820,3.83428592,1.216611542
19460821,3.804416832,1.216623708
19460822,3.743584207,1.216635874
19460823,3.765334432,1.21664804
19460826,3.743909679,1.216660207
19460827,3.620398098,1.216672374
19460828,3.58604052,1.21668454
19460829,3.599344731,1.216696707
19460830,3.582103869,1.216708874
19460903,3.334974524,1.216721041
19460904,3.309662067,1.216733208
19460905,3.42520237,1.216745376
19460906,3.387901916,1.216757543
19460909,3.208715784,1.216769711
19460910,3.127888233,1.216781878
19460911,3.220192215,1.216794046
19460912,3.224088647,1.216806214
19460913,3.283766528,1.216818382
19460916,3.308427615,1.21683055
19460917,3.285963391,1.216842719
19460918,3.181174019,1.216854887
19460919,3.088633666,1.216867056
19460920,3.161865171,1.216879224
19460923,3.111306947,1.216891393
19460924,3.164852539,1.216903562
19460925,3.240207678,1.216915731
19460926,3.275558344,1.2169279
19460927,3.252989747,1.21694007
19460930,3.217889988,1.216952239
19461001,3.207624918,1.216964408
19461002,3.238129431,1.216976578
19461003,3.223914043,1.216988748
19461004,3.187838445,1.217000918
19461005,3.16683059,1.217013088
19461007,3.163695427,1.217025258
19461008,3.129242784,1.217037428
19461009,3.039777733,1.217049599
19461010,3.077197397,1.217061769
19461011,3.140926155,1.21707394
19461014,3.170796363,1.21708611
19461015,3.292586651,1.217098281
19461016,3.285375886,1.217110452
19461017,3.227914662,1.217122623
19461018,3.219877155,1.217134795
19461019,3.21475755,1.217146966
19461021,3.222826591,1.217159137
19461022,3.20352186,1.217171309
19461023,3.174401846,1.217183481
19461024,3.177925432,1.217195653
19461025,3.162067584,1.217207824
19461026,3.159569551,1.217219997
19461028,3.10430868,1.217232169
19461029,3.076090514,1.217244341
19461030,3.07427562,1.217256514
19461031,3.173605466,1.217268686
19461101,3.232348903,1.217280859
19461102,3.25242179,1.217293032
19461104,3.277172719,1.217305205
19461106,3.155622383,1.217317378
19461107,3.169538678,1.217329551
19461108,3.187953698,1.217341724
19461109,3.219227523,1.217353897
19461112,3.204773192,1.217366071
19461113,3.179487531,1.217378245
19461114,3.197006508,1.217390418
19461115,3.167306317,1.217402592
19461116,3.164804145,1.217414766
19461118,3.135719595,1.217426941
19461119,3.12258093,1.217439115
19461120,3.101690864,1.217451289
19461121,3.047752459,1.217463464
19461122,3.032239399,1.217475638
19461123,3.081088776,1.217487813
19461125,3.07218443,1.217499988
19461126,3.111539112,1.217512163
19461127,3.139262926,1.217524338
19461129,3.1713148,1.217536513
19461130,3.173566434,1.217548689
19461202,3.124725246,1.217560864
19461203,3.136630449,1.21757304
19461204,3.191866512,1.217585216
19461205,3.174343164,1.217597391
19461206,3.188342018,1.217609567
19461207,3.214199472,1.217621743
19461209,3.314193217,1.21763392
19461210,3.312569262,1.217646096
19461211,3.317571242,1.217658272
19461212,3.279452348,1.217670449
19461213,3.284732267,1.217682626
19461214,3.303816561,1.217694803
19461216,3.301206546,1.21770698
19461217,3.287704611,1.217719157
19461218,3.295299209,1.217731334
19461219,3.34377306,1.217743511
19461220,3.353837817,1.217755689
19461221,3.360914415,1.217767866
19461223,3.335741166,1.217780044
19461224,3.330437338,1.217792222
19461226,3.304160187,1.217804399
19461227,3.299236988,1.217816578
19461228,3.311807081,1.217828756
19461230,3.307203669,1.217840934
19461231,3.332040769,1.217853112
19470102,3.312748253,1.217865291
19470103,3.317419228,1.21787747
19470104,3.326741176,1.217889648
19470106,3.354719069,1.217901827
19470107,3.330598639,1.217914006
19470108,3.336293963,1.217926185
19470109,3.343333543,1.217938365
19470110,3.302912641,1.217950544
19470111,3.260007805,1.217962724
19470113,3.207228279,1.217974903
19470114,3.217523482,1.217987083
19470115,3.200824535,1.217999263
19470116,3.197975801,1.218011443
19470117,3.252373369,1.218023623
19470118,3.287206288,1.218035803
19470120,3.251079891,1.218047983
19470121,3.240383838,1.218060164
19470122,3.249813355,1.218072345
19470123,3.276169342,1.218084525
19470124,3.285375377,1.218096706
19470125,3.284094081,1.218108887
19470127,3.307115581,1.218121068
19470128,3.328975615,1.218133249
19470129,3.367625021,1.218145431
19470130,3.361933735,1.218157612
19470131,3.374406509,1.218169794
19470201,3.394349252,1.218181975
19470203,3.404905678,1.218194157
19470204,3.408004142,1.218206339
19470205,3.416217432,1.218218521
19470206,3.410102403,1.218230703
19470207,3.458559958,1.218242886
19470208,3.471391215,1.218255068
19470210,3.447126191,1.218267251
19470211,3.46267273,1.218279433
19470213,3.427041828,1.218291616
19470214,3.420564719,1.218303799
19470215,3.420256868,1.218315982
19470217,3.425421456,1.218328165
19470218,3.42066012,1.218340349
19470219,3.394013177,1.218352532
19470220,3.401174545,1.218364716
19470221,3.413792903,1.218376899
19470224,3.390613249,1.218389083
19470225,3.345212938,1.218401267
19470226,3.307445484,1.218413451
19470227,3.348160137,1.218425635
19470228,3.335805427,1.218437819
19470301,3.337173107,1.218450004
19470303,3.325192655,1.218462188
19470304,3.323563311,1.218474373
19470305,3.360488099,1.218486558
19470306,3.374299705,1.218498742
19470307,3.274791607,1.218510927
19470308,3.258122918,1.218523112
19470310,3.243819758,1.218535298
19470311,3.214009055,1.218547483
19470312,3.237503461,1.218559669
19470313,3.236240834,1.218571854
19470314,3.198085555,1.21858404
19470315,3.194279833,1.218596226
19470317,3.205172327,1.218608412
19470318,3.235332999,1.218620598
19470319,3.252836151,1.218632784
19470320,3.245712439,1.21864497
19470321,3.275605451,1.218657157
19470322,3.28349966,1.218669343
19470324,3.262189747,1.21868153
19470325,3.240691917,1.218693717
19470326,3.276696004,1.218705904
19470327,3.319981158,1.218718091
19470328,3.311050409,1.218730278
19470329,3.304130314,1.218742465
19470331,3.28070403,1.218754653
19470401,3.284345611,1.21876684
19470402,3.285692193,1.218779028
19470403,3.274882265,1.218791216
19470405,3.27393255,1.218803404
19470407,3.244499896,1.218815592
19470408,3.204624992,1.21882778
19470409,3.201452414,1.218839968
19470410,3.205966461,1.218852156
19470411,3.184518546,1.218864345
19470412,3.150476043,1.218876534
19470414,3.057568504,1.218888722
19470415,3.056681809,1.218900911
19470416,3.086056521,1.2189131
19470417,3.089482044,1.218925289
19470418,3.052439154,1.218937479
19470419,3.086351753,1.218949668
19470421,3.110764796,1.218961858
19470422,3.128838339,1.218974047
19470423,3.131685582,1.218986237
19470424,3.114492628,1.218998427
19470425,3.088673484,1.219010617
19470426,3.091793045,1.219022807
19470428,3.090278066,1.219034997
19470429,3.085673552,1.219047187
19470430,3.123966761,1.219059378
19470501,3.150551718,1.219071569
19470502,3.165705871,1.219083759
19470503,3.172385511,1.21909595
19470505,3.173051712,1.219108141
19470506,3.141352925,1.219120332
19470507,3.139499527,1.219132523
19470508,3.124147374,1.219144715
19470509,3.118242736,1.219156906
19470510,3.124510404,1.219169098
19470512,3.090484485,1.219181289
19470513,3.037668105,1.219193481
19470514,3.023421442,1.219205673
19470515,3.046127337,1.219217865
19470516,2.985844477,1.219230057
19470517,2.941982422,1.21924225
19470519,2.943482833,1.219254442
19470520,2.958818378,1.219266635
19470521,3.001454951,1.219278827
19470522,3.030298933,1.21929102
19470523,3.042147402,1.219303213
19470524,3.042177824,1.219315406
19470526,3.025476267,1.219327599
19470527,3.022178498,1.219339792
19470528,3.070865794,1.219351986
19470529,3.095156342,1.219364179
19470602,3.064854762,1.219376373
19470603,3.096453414,1.219388567
19470604,3.085956437,1.219400761
19470605,3.085370105,1.219412955
19470606,3.101444884,1.219425149
19470609,3.090310696,1.219437343
19470610,3.111355712,1.219449537
19470611,3.182636872,1.219461732
19470612,3.177894743,1.219473927
19470613,3.210341048,1.219486121
19470616,3.210373151,1.219498316
19470617,3.201737248,1.219510511
19470618,3.199848223,1.219522706
19470619,3.231878703,1.219534901
19470620,3.248070416,1.219547097
19470623,3.265642477,1.219559292
19470624,3.208199826,1.219571488
19470625,3.231010126,1.219583684
19470626,3.245258881,1.219595879
19470627,3.246913963,1.219608075
19470630,3.259609397,1.219620271
19470701,3.307558251,1.219632468
19470702,3.313214175,1.219644664
19470703,3.349030021,1.21965686
19470707,3.357770989,1.219669057
19470708,3.371571428,1.219681254
19470709,3.348678458,1.21969345
19470710,3.374831637,1.219705647
19470711,3.413338465,1.219717844
